number of adults,number of children,number of weekend nights,number of week nights,car parking space,lead time,repeated,P-C,P-not-C,average price ,special requests,date of reservation,booking_status--converted,total_nights,total_guests,type of meal_Meal Plan 2,type of meal_Meal Plan 3,type of meal_Not Selected,room type_Room_Type 2,room type_Room_Type 3,room type_Room_Type 4,room type_Room_Type 5,room type_Room_Type 6,room type_Room_Type 7,market segment type_Complementary,market segment type_Corporate,market segment type_Offline,market segment type_Online
2,0,0,3,0,37,0,0,0,105,0,10/13/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,130,0,0,0,94.5,1,5/22/2018,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,99,0,0,0,114.3,1,4/28/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,60,0,0,0,65,0,9/21/2017,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,2,0,0,0,110,0,5/19/2018,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,2,0,37,0,0,0,37.33,0,11/6/2017,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,56,0,0,0,82,0,9/17/2017,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,3,0,0,0,177.5,1,9/19/2017,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,2,0,107,0,0,0,87.5,1,11/13/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,3,0,56,0,0,0,82.44,1,12/7/2018,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,1
2,0,0,1,0,2,0,0,0,69.5,1,1/9/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,72,0,0,0,85.5,0,10/7/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,1,23,0,0,0,115,1,4/27/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,34,0,0,0,81,0,6/19/2018,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,289,0,0,0,67,0,10/17/2017,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,247,0,0,0,63.75,0,11/19/2018,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,186,0,0,0,121.8,1,7/30/2018,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,4,0,64,0,0,0,93.6,2,11/1/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,35,0,0,0,102,1,6/21/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,96,0,0,0,121.8,1,4/10/2018,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,41,0,0,0,98.1,1,6/27/2018,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,55,0,0,0,60,1,11/18/2017,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,0,3,0,146,0,0,0,75,0,12/29/2017,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,32,0,0,0,73,0,11/20/2017,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,55,0,0,0,104,0,4/6/2018,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,57,0,0,0,79.2,1,11/1/2018,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,3,0,7,0,0,0,125.8,2,12/29/2018,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,2,5,0,124,0,0,0,87.95,0,5/30/2018,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,169,0,0,0,106,0,4/22/2018,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,6,0,0,0,136.67,1,5/16/2018,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,51,0,0,0,60,1,11/11/2017,0,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,0,0,13,0,0,0,89,2,6/13/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,100,0,0,0,136,1,5/19/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,139,0,0,0,94.5,1,7/28/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,117,0,0,0,93.6,2,12/26/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,39,0,0,0,120.6,0,4/20/2018,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,86,0,0,0,99.3,1,4/6/2018,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,2,0,1,1,2,0,0,0,180.375,1,9/2/2018,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,3,0,19,0,0,0,120.12,2,5/3/2018,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,192,0,0,0,95,0,6/24/2018,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,2,0,0,0,20.975,1,9/10/2017,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,2,1,0,86,0,0,0,75,0,12/18/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,30,0,0,0,157.5,2,10/5/2018,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,179,0,0,0,97.7,1,6/3/2018,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,26,0,0,0,142,0,4/15/2018,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,55,0,0,0,80,0,4/6/2018,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,74,0,0,0,85.5,1,4/25/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,143,0,0,0,100,0,8/25/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,34,0,0,0,88,2,11/14/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,1,30,0,0,0,122.85,1,8/29/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,177,0,0,0,100,0,6/3/2018,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,34,0,0,0,75,0,10/25/2017,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,1,4,0,18,0,0,0,116.8,1,3/9/2018,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,1,1,0,267,0,0,0,121.5,0,12/31/2018,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,64,0,0,0,111.9,1,6/27/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,5,0,155,0,0,0,121.55,2,6/28/2018,1,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,5,0,46,0,0,0,75,1,3/29/2018,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,2,0,83,0,0,0,159.3,0,4/1/2018,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,5,0,128,0,0,0,132.3,0,10/11/2018,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,0,0,20,0,0,0,88,2,12/25/2018,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,40,0,0,0,98.82,0,3/14/2018,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,1,46,0,0,0,98.3,1,3/4/2018,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,0,0,1,0,0,0,150,2,10/17/2018,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,196,0,0,0,96.05,1,9/4/2018,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,188,0,0,0,130,0,6/15/2018,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,17,1,0,5,95,0,12/10/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,146,0,0,0,113.56,0,8/9/2018,0,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0
2,0,1,3,0,110,0,0,0,101.58,1,5/5/2018,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,1,68,0,0,0,105.3,0,3/18/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,73,0,0,0,115.8,1,4/9/2018,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,92,0,0,0,149.4,1,5/19/2018,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,5,0,171,0,0,0,111.59,0,8/30/2018,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,2,1,134,0,0,0,130.5,2,8/4/2018,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,289.5,0,0,0,115,1,8/18/2018,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,118,0,0,0,90.95,1,4/13/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,30,0,0,0,76.08,1,11/17/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,1,3,0,30,0,0,0,156.9,0,12/22/2018,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,1,0,0,189,0,0,0,85.5,2,10/23/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
3,0,1,2,0,55,0,0,0,159.3,2,5/13/2018,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,4,0,55,0,0,0,74.8,2,12/13/2018,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,16,0,0,0,95,1,10/31/2017,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,24,0,0,0,107,1,10/8/2017,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,8,0,0,0,64,0,2/16/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,1,10,0,0,0,82.95,0,11/2/2017,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,0,0,0,0,155,1,9/21/2017,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,1,0,12,0,0,0,101.68,1,6/30/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,32,0,0,0,94.5,2.5,9/5/2017,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,182,0,0,0,117.9,2,9/30/2018,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,1,0,0,0,127,1,6/27/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,122,0,0,0,116.1,2,6/16/2018,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,40,0,0,0,117.9,1,6/30/2018,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,2,2,0,116,0,0,0,180.375,1,6/26/2018,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0,2,2,1,123,0,0,0,155.7,1,8/13/2018,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,2,5,0,40,0,0,0,135.76,0,4/22/2018,1,7,3,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,2,5,0,105,0,0,0,102.83,2.5,11/12/2018,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,289.5,0,0,0,65,0,4/29/2018,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,2,0,0,0,103,1,11/14/2017,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,289.5,0,0,0,106.2,1,9/1/2018,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,286,0,0,0,58.5,0,9/16/2018,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,68,0,0,0,73.95,0,3/10/2018,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,148,0,0,0,105.3,0,5/5/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,0,0,68,0,0,0,133.2,2,4/24/2018,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,30,0,0,0,85.5,0,3/30/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,14,0,0,0,112,1,11/3/2018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2,0,2,0,110,0,0,0,180.375,0,10/14/2018,1,2,4,0,0,0,0,0,0,0,1,0,0,0,0,1
1,0,2,3,0,117,0,0,0,110,0,6/5/2018,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,85,0,0,0,91.48,1,7/13/2018,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,2,0,1,0,0,0,135,2,10/20/2018,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,1,2,0,25,0,0,0,129,2,10/17/2018,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,4,0,289,0,0,0,70.55,2,12/28/2018,1,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,28,0,0,0,75,0,10/19/2017,0,5,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,4,0,80,0,0,0,72.25,0,3/29/2018,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,11,0,0,0,155,2,10/9/2017,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,1,1,0,0,162,0,0,0,121.5,2,7/25/2018,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,5,0,155,0,0,0,90.95,2,6/28/2018,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,82,0,0,0,109.65,0,5/22/2018,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,4,0,27,0,0,0,142.72,0,4/15/2018,1,6,3,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,2,0,13,0,0,0,90,0,5/9/2018,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,245,0,0,0,75,0,6/17/2018,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,11,0,0,0,111,1,11/18/2018,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,266,0,0,0,86.7,2,10/30/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,39,0,0,0,117.9,1,3/28/2018,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,2,0,13,1,3,5,20.975,1,6/1/2018,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,4,0,112,0,0,0,101.58,1,5/4/2018,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,88,0,0,0,58.9,1,4/8/2018,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,56,0,0,0,120,0,6/8/2018,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,3,0,73,0,0,0,107.1,0,4/7/2018,1,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,1,0,80,0,0,0,126.9,1,5/2/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,130,0,0,0,139.5,2,9/29/2018,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,69,0,0,0,80.75,1,4/4/2018,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,273,0,0,0,109,0,7/17/2017,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,55,0,0,0,104,0,4/6/2018,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,4,1,1,5,65,1,11/1/2018,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,97,0,0,0,140.4,0,5/24/2018,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,0,3,0,44,0,0,0,75,0,2/17/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,31,0,0,0,94.5,0,4/14/2018,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,0,0,0,109,0,6/5/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,62,0,0,0,105,2,11/12/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,86,0,0,0,107.95,1,4/17/2018,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,2,2,0,3,0,0,0,180.375,1,10/7/2018,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,1
2,0,1,1,0,197,0,0,0,85.5,1,8/1/2018,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,143,0,0,0,105.3,2,7/12/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,1,0,23,0,0,0,20.975,0,1/2/2018,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,8,0,0,0,156,0,6/15/2018,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,0,2,0,13,0,0,0,73.15,1,11/16/2018,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,280,0,0,0,110,0,9/19/2018,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1,0,0,11,0,0,0,87.4,1,9/13/2017,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,289.5,0,0,0,120,0,9/15/2018,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,185,0,0,0,79.2,0,12/16/2018,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,160,0,0,0,90.95,1,6/30/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,104,0,0,0,91.48,1,10/18/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,0,1,0,11,0,0,0,150,1,11/5/2018,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,2,0,0,0,89,0,3/22/2018,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,14,0,0,0,91.43,1,8/17/2018,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,22,0,0,0,140,0,5/20/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,5,0,37,0,0,0,87.78,0,10/24/2017,0,7,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,289.5,0,0,0,115,0,7/21/2018,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,3,0,11,0,0,0,80.85,1,9/9/2017,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,86,0,0,0,82.45,1,3/31/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,1,0,109,0,0,0,108,0,10/11/2018,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,72,0,0,0,96.3,1,4/2/2018,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,5,0,196,0,0,0,99.45,0,8/22/2018,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,56,0,0,0,140.4,1,5/13/2018,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,3,0,189,0,0,0,72.25,0,8/8/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,126,0,0,0,126,0,8/15/2018,0,5,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,2,3,0,289.5,0,0,0,78,0,8/19/2018,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,2,2,0,81,0,0,0,146.6,1,11/6/2018,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,54,0,0,0,118.8,0,10/10/2018,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,15,0,0,0,145,0,10/6/2018,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,4,0,86,0,0,0,84.58,0,4/6/2018,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,161,0,0,0,130,0,3/25/2018,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,4,10,0,147,0,0,0,118.88,1,8/3/2018,1,14,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2,0,1,2,0,92,0,0,0,101.52,0,5/30/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,87,0,0,0,100,0,9/11/2017,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,109,0,0,0,58,0,3/20/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,127,0,0,0,61.5,2,3/23/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,289.5,0,0,0,107,0,9/26/2018,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,4,0,156,0,0,0,87.3,1,8/24/2018,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,80,0,0,0,76.5,1,7/16/2017,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,211,0,0,0,63.75,0,12/16/2018,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,1,2,0,273,0,0,0,95,0,5/13/2018,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,1,0,58,0,0,0,75,1,11/19/2018,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,3,0,289.5,0,0,0,70,0,9/8/2018,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,3,0,111,0,0,0,101.58,1,5/2/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,3,0,34,0,0,0,85,0,8/21/2018,0,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,4,0,17,0,0,0,98.39,0,12/3/2018,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,4,0,0,0,20.975,1,2/27/2018,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,3,0,6,0,0,0,106.07,1,9/22/2017,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,1,1,0,32,0,0,0,105,1,7/18/2018,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,4,0,0,0,145,2,9/22/2017,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,2,1,0,195,0,0,0,106.03,1,8/13/2018,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,2,2,0,119,0,0,0,114.3,1,8/13/2018,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0,13,0,0,0,88,0,12/5/2018,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1
2,0,0,2,0,59,0,0,0,89.25,2,10/15/2017,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
